exposure,age,low,central,high
174.9,25+,3.1865107872338254,3.73417437253388,4.375964550427109
175,25+,3.187145508631223,3.73501998581804,4.377074801473823
175.10000000000002,25+,3.187779731796459,3.7358649583473977,4.378184241463503
175.20000000000002,25+,3.188413457419654,3.736709290983261,4.379292871452346
175.3,25+,3.18904668619021,3.737552984586136,4.380400692495705
175.4,25+,3.1896794187967954,3.7383960400157217,4.381507705648073
175.5,25+,3.190311655927359,3.7392384581309153,4.382613911963095
175.60000000000002,25+,3.19094339826912,3.740080239789805,4.383719312493558
175.70000000000002,25+,3.191574646508571,3.7409213858496697,4.384823908291386
175.8,25+,3.1922054013314725,3.741761897166977,4.385927700407648
175.9,25+,3.1928356634228585,3.742601774597385,4.387030689892541
176,25+,3.1934654334670296,3.743441018995732,4.388132877795397
176.10000000000002,25+,3.194094712147557,3.744279631216047,4.3892342651646805
176.20000000000002,25+,3.194723500147277,3.7451176121115366,4.390334853047977
176.3,25+,3.1953517981482933,3.745954962534591,4.391434642492002
176.4,25+,3.195979606831975,3.746791683336779,4.392533634542592
176.5,25+,3.1966069268789563,3.7476277753688505,4.3936318302447015
176.60000000000002,25+,3.197233758969135,3.7484632394807265,4.394729230642401
176.70000000000002,25+,3.1978601037816725,3.749298076521506,4.3958258367788785
176.8,25+,3.198485961994992,3.7501322873394622,4.396921649696433
176.9,25+,3.199111334286777,3.7509658727820376,4.398016670436473
177,25+,3.1997362213339735,3.751798833695847,4.399110900039512
177.10000000000002,25+,3.200360623812785,3.7526311709266738,4.4002043395451675
177.20000000000002,25+,3.200984542398677,3.753462885319468,4.401296989992166
177.3,25+,3.2016079777663697,3.754293977718347,4.402388852418326
177.4,25+,3.202230930589844,3.755124448966591,4.403479927860567
177.5,25+,3.2028534015423347,3.755954299906644,4.4045702173549035
177.60000000000002,25+,3.2034753912963345,3.7567835313801146,4.405659721936441
177.70000000000002,25+,3.20409690052359,3.7576121442277666,4.406748442639379
177.8,25+,3.204717929895103,3.7584401392895255,4.407836380496999
177.9,25+,3.205338480081128,3.7592675174044743,4.408923536541675
178,25+,3.205958551751174,3.760094279410854,4.410009911804859
