scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
scenario1,LKA,LKA,Sri Lanka,central,Sri Lanka Rupee,LKR,21.44786858209166,3833.6971249191156,22955705.82241178,0.9343153614188588,2.4248509398928147e-4
scenario1,PHL,PHL,Philippines,central,Philippine Peso,PHP,82.69665699870423,4283.338071736861,117806304.48301554,0.7019714043455699,2.0142164732955885e-4
scenario1,BRN,BRN,Brunei,central,Brunei Dollar,BND,3.3290394466451447,4.541475613113313,597515.8241621748,5.571466582183091,1.7922318636552872e-4
scenario1,CHN,CHN,China,central,Yuan Renminbi,CNY,2592.124121309164,17907.43027965227,1450705425.4458532,1.786802527820224,1.7412379645350293e-4
scenario1,AFG,AFG,Afghanistan,central,Afghani,AFN,3.3729707453859588,261.8433816672374,39848761.98105132,0.08464430455806524,1.6857537113313536e-4
scenario1,MYS,MYS,Malaysia,central,Malaysian Ringgit,MYR,62.73107928811442,259.8615974388102,33235270.875280656,1.887485121560174,1.6535365438140554e-4
scenario1,MOZ,MOZ,Mozambique,central,Mozambique Metical,MZN,2.4460431424289895,153.04891942178187,37358214.46823282,0.06547537609188891,1.3313287372273506e-4
scenario1,TLS,TLS,Timor-Leste,central,US Dollar,USD,0.18741481515119668,0.18741481515119668,1106761.0015873052,0.16933630194993163,1.3084357122514038e-4
scenario1,NAM,NAM,Namibia,central,Namibia Dollar,NAD,2.022807423805758,29.22633078211511,3153838.434351698,0.6413795335148693,1.2937669522526552e-4
scenario1,NAM,NAM,Namibia,central,Rand,ZAR,2.022807423805758,29.22633078211511,3153838.434351698,0.6413795335148693,1.2937669522526552e-4
scenario1,MDV,MDV,Maldives,central,Rufiyaa,MVR,0.17534780889515308,2.697199996425241,131839.4818789405,1.3300098452765718,1.2325747797476818e-4
scenario1,JPN,JPN,Japan,central,Yen,JPY,503.07575602529744,54840.120087141695,124751438.7749191,4.032624881649376,1.0019720457293614e-4
scenario1,KOR,KOR,South Korea,central,Won,KRW,155.15888540690182,180815.57080057316,52608121.04512764,2.9493333410217284,9.285735824103232e-5
scenario1,ZMB,ZMB,Zambia,central,Zambian Kwacha,ZMW,2.3153065578674203,29.84291234697634,21067180.368814427,0.10990111240964878,8.510603456633552e-5
scenario1,SGP,SGP,Singapore,central,Singapore Dollar,SGD,15.039476556782343,20.51685391876249,2800442.442780054,5.370393023272551,8.232596647693582e-5
scenario1,MWI,MWI,Malawi,central,Kwacha,MWK,0.6963791948844485,519.4518737881431,24329373.85802166,0.028622980556272912,6.954882221496273e-5
scenario1,MDG,MDG,Madagascar,central,Malagasy Ariary,MGA,1.0449550571727317,3780.9837678838435,30513498.569994304,0.03424566523487073,6.557710877596596e-5
